rank,flat_element_index,displacement_angstrom,dft_h_eV,sr_fixed_lr_h_eV,full_h_eV,dft_derivative_eV_per_A,sr_derivative_eV_per_A,full_derivative_eV_per_A
5,681886,-0.0275,1.565590890954143,1.569319385334826,1.573535731878897,3.849332916935131,3.547830773608684,3.310370849228664
5,681886,-0.025,1.575187496701824,1.578178206073297,1.581803965927244,3.827903889780168,3.539000996227803,3.30580942397233
5,681886,-0.0225,1.584730479014006,1.587013373922502,1.590057651182218,3.806433926479457,3.528183382400812,3.299053646196825
5,681886,-0.02,1.59421958953947,1.595818950446314,1.598298606210473,3.784915769817815,3.514840007209756,3.290500361781966
5,681886,-0.0175,1.603654991456335,1.604586779722752,1.606510678780594,3.763368201370838,3.500683846131892,3.280846211358863
5,681886,-0.015,1.613036457597392,1.613319636045481,1.614689712045401,3.741783871602109,3.486215207275933,3.26445281614312
5,681886,-0.0125,1.622363853075637,1.62201866442613,1.622835975637974,3.720141252141161,3.471523363412444,3.241419947076622
5,681886,-0.01,1.631637153184781,1.630676542683826,1.630890273372942,3.698485103282081,3.458379267594864,3.206814525694227
5,681886,-0.0075,1.640856247152459,1.639294847200926,1.63887145315691,3.676812470076698,3.435884509716857,3.176812083232051
5,681886,-0.005,1.650021202578555,1.647868104405937,1.646739964099209,3.655125381427325,3.398472096666012,3.11763843022726
5,681886,-0.0025,1.659131862143878,1.65631346347293,1.65456210753132,3.633411055193932,3.374099355429877,3.096683661006182
5,681886,0,1.668188258336608,1.664694857631679,1.662123406888194,3.611679420929448,3.370988049066199,3.096535171473931
5,681886,0.0025,1.677190249638155,1.673167274625348,1.670043506919543,3.589953250538457,3.367074361808079,3.096063014054835
5,681886,0.005,1.686137991172802,1.681572984984211,1.677701935983105,3.568218407783718,3.340295934879919,3.073077411873015
5,681886,0.0075,1.695031396029597,1.689841464231508,1.685305822370968,3.546489335852726,3.298622763352569,3.008828181463144
5,681886,0.01,1.703870417442333,1.698052222102866,1.692779231504055,3.524767139050965,3.270189429644205,2.970827914922808
5,681886,0.0125,1.712655205502217,1.706207098825311,1.700158279166107,3.503052874445444,3.249809918696712,2.927440006664398
5,681886,0.015,1.721385734924683,1.714300840966561,1.707423912634244,3.481338749508438,3.226563674899893,2.897248402090668
5,681886,0.0175,1.730061907964781,1.722337902651812,1.714643204344222,3.459635683071838,3.202258638817085,2.876940618234499
5,681886,0.02,1.738683873115208,1.730313940414924,1.721825067508574,3.437948429508737,3.177009308878695,2.867707774606089
5,681886,0.0225,1.747251707880551,1.738222674852325,1.728984466885345,3.416284108829643,3.151326044969863,2.864131974589014
5,681886,0.025,1.755765289899767,1.746069513891963,1.736149639250069,3.394621203842749,3.12686644649455,2.866626309891326
5,681886,0.0275,1.764224799495611,1.75385719014522,1.743329234286268,3.372964767246283,3.103113436036721,2.875644239420205
5,681886,0.03,1.772630140265923,1.761586300757267,1.750532368231184,3.351314799040126,3.080067013596347,2.891185763175754
6,1265041,-0.03,-1.772630140265923,-1.761586328009353,-1.750532401713311,3.351314799038828,3.080067043160565,2.89118571941893
6,1265041,-0.0275,-1.764224799495611,-1.753857217333347,-1.743329267890486,3.372964767245863,3.103113460798687,2.875644188379611
6,1265041,-0.025,-1.755765289899767,-1.746069541014623,-1.736149672988861,3.394621203842862,3.126866469548406,2.86662625197957
6,1265041,-0.0225,-1.747251707880551,-1.738222701919638,-1.728984500774508,3.416284108829785,3.151326069409691,2.864131910218788
6,1265041,-0.02,-1.738683873115208,-1.730313967421231,-1.721825101564962,3.437948429508992,3.177009339155603,2.86770770267546
6,1265041,-0.0175,-1.730061907964781,-1.722337929568174,-1.714643238592521,3.459635683072037,3.20225867679315,2.876940543790965
6,1265041,-0.015,-1.721385734924683,-1.714300867784111,-1.707423947071855,3.481338749508694,3.226563711699811,2.897248326372164
6,1265041,-0.0125,-1.712655205502217,-1.706207125553292,-1.700158313785525,3.503052874445615,3.249809948973791,2.92743992625617
6,1265041,-0.01,-1.703870417442333,-1.698052248781964,-1.692779266340052,3.524767139051136,3.270189450833641,2.970827823629833
6,1265041,-0.0075,-1.695031396029597,-1.689841490859491,-1.685305857444493,3.546489335852897,3.298622771148615,3.008828079974904
6,1265041,-0.005,-1.686137991172802,-1.681573011614283,-1.677701971300362,3.568218407783888,3.340295923853944,3.073077331240967
